"Compound","mz","rt","221012_DGM_Blank1_1_1_390","221012_DGM_Blank1_1_2_391","221012_DGM_Blank1_1_3_392","221012_DGM_MB1588_3_1_395","221012_DGM_MB1588_3_2_396","221012_DGM_MB1588_3_3_397","221012_DGM_MB1589_4_1_398","221012_DGM_MB1589_4_2_399","221012_DGM_MB1589_4_3_400","221012_DGM_MB1590_5_1_401","221012_DGM_MB1590_5_2_402","221012_DGM_MB1590_5_3_403","221012_DGM_Blank2_1_1_404","221012_DGM_Blank2_1_2_405","221012_DGM_Blank2_1_3_406","221012_DGM_MB1591_6_1_407","221012_DGM_MB1591_6_2_408","221012_DGM_MB1591_6_3_409","221012_DGM_MB1592_7_1_410","221012_DGM_MB1592_7_2_411","221012_DGM_MB1592_7_3_412","221012_DGM_MB1593_8_1_413","221012_DGM_MB1593_8_2_414","221012_DGM_MB1593_8_3_415","221012_DGM_MB1594_9_1_416","221012_DGM_MB1594_9_2_417","221012_DGM_MB1594_9_3_418","221012_DGM_Blank3_1_1_419","221012_DGM_Blank3_1_2_420","221012_DGM_Blank3_1_3_421","221012_DGM_MB1595_10_1_422","221012_DGM_MB1595_10_2_423","221012_DGM_MB1595_10_3_424","221012_DGM_MB1597_11_1_425","221012_DGM_MB1597_11_2_426","221012_DGM_MB1597_11_3_427","221012_DGM_MB1598_12_1_428","221012_DGM_MB1598_12_2_429","221012_DGM_MB1598_12_3_430","221012_DGM_MB1599_13_1_431","221012_DGM_MB1599_13_2_432","221012_DGM_MB1599_13_3_433","221012_DGM_Blank4_1_1_434","221012_DGM_Blank4_1_2_435","221012_DGM_Blank4_1_3_436","kmd"
"413.12834 Da 319.32 s",414.13562,5.32,1643.672119,1683.589355,1581.715332,0,1842.960938,0,1540.176514,1379.541016,1349.258789,1736.740112,1674.615234,0,1661.672852,2047.950317,1189.160156,1573.227905,0,1092.180054,1813.853271,1505.633179,1203.859375,1327.427246,1740.172363,1380.643921,1635.196167,1337.971802,1377.621826,1256.643433,1920.3302,1438.920776,1270.993408,1232.580566,1769.550049,1469.424072,1916.736206,2275.195557,0,1318.553833,0,1066.13562,0,966.0234375,1861.986206,1202.606323,1478.474854,0.135620000000017
"655.22101 Da 481.62 s",656.22829,8.03,0,0,0,0,0,8839.863281,0,0,8058.202148,0,0,0,16815.25586,17501.14453,5604.231934,0,0,6107.080078,2540.801025,2162.738281,11592.63965,0,4208.382813,7293.762695,0,0,7568.200195,10593.59961,0,8887.849609,3453.784912,2805.313477,3917.200684,0,5492.965332,3876.186768,0,0,6346.355957,6197.054688,13562.3877,32407.83789,15096.83398,24745.08398,15284.74023,0.228290000000015
"904.69182 Da 604.24 s",905.6991,10.07,0,0,4459.532227,0,0,4535.72998,0,0,4271.522461,0,0,0,0,0,0,2709.508301,2182.018311,0,0,2738.019531,0,0,0,0,3350.651855,0,0,0,5863.392578,0,3040.876465,0,3773.011475,1994.700073,0,0,0,0,5324.370605,6451.30127,4927.145996,5301.799316,0,508.5,0,0.699100000000044
"798.49680 Da 604.00 s",799.50408,10.07,6537.558594,0,0,0,0,0,8426.455078,11090.12988,7521.54541,13776.29785,8939.585938,0,5920.993652,0,3559.698975,5700.308594,2390.11499,5241.543945,0,0,3995.891113,5239.572266,7006.155762,8872.400391,3247.47168,7382.615723,0,0,0,3100.021484,0,3969.096436,3393.127197,0,7475.469238,8617.71875,0,0,3165.401123,2199.003418,0,2455.895752,2673.54248,4999.416992,3814.854248,0.504080000000044
"641.41035 Da 429.52 s",642.41763,7.16,0,0,0,0,0,0,0,0,15678.53223,15058.77344,16887.57031,15524.37305,0,0,0,0,0,13128.43066,0,0,0,16500.92969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200.25586,0,0,0.417630000000031
"1034.70343 Da 603.85 s",1035.71071,10.06,0,0,0,0,0,3736.73291,0,3197.817871,1959.862427,0,0,0,0,0,0,0,1277.722412,1329.062744,1247.886841,1715.22937,0,1309.528687,3152.953369,2025.035156,1856.38562,0,2161.984131,3378.995361,3064.720459,2716.823486,2162.783691,3605.60498,0,0,2257.937744,0,1437.887695,0,0,1710.21582,1334.032593,0,0,1404.990112,0,0.710710000000063
"1148.24200 Da 604.13 s",1149.24928,10.07,0,0,0,0,6992.668945,0,0,0,0,5240.81543,2777.898193,1694.62439,1221.112305,0,4197.876953,0,0,0,0,0,2039.552856,0,2885.88916,0,0,2711.630615,0,1918.467041,2530.297363,0,0,0,0,0,0,0,6560.782715,6257.624512,5920.830078,3235.674316,0,1678.616943,2760.314697,4806.648438,2445.118408,0.249279999999999
"514.90737 Da 303.78 s",515.91465,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600.261597,0,0,0,0,0,0,0,0,0,0,0,0,5389.472168,6640.680176,4666.650391,0,3815.29541,0,0,781.2132568,0,0,0,0,0.914650000000051
"1026.70551 Da 423.16 s",1027.71278,7.05,0,3371.501709,0,5315.880859,3877.731934,11936.50391,0,0,5822.396973,5218.9375,4692.46582,9199.254883,0,0,1607.5,0,2145,4919.029785,0,0,3742.722656,0,0,0,1046.44104,0,0,2574.827881,2622.531006,4176.628418,0,5450.912109,6182.333984,7536.690918,8519.549805,8784.629883,5186.516113,6450.395996,8238.276367,3398.300293,0,6296.237793,0,3225.449463,2025.653076,0.712780000000066
"705.44117 Da 605.20 s",706.44844,10.09,0,0,0,9318.194336,5122.63916,4694.85498,0,0,3415.733154,0,6037.306152,0,0,2917.615723,0,3913.077393,0,0,1466.390137,0,0,0,4623.208008,0,0,0,0,0,0,4033.580078,0,0,0,0,0,0,0,0,0,0,0,1595.926025,0,0,0,0.448440000000005
"791.57900 Da 603.84 s",792.58628,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.054199,0,0,6261.72168,9685.014648,0,0,9029.792969,5737.605469,8577.475586,0,8803.96875,5896.854492,0,0,6907.110352,9585.706055,0,6238.534668,0,6215.672363,6615.001953,0,0,0,8058.80127,5441.591309,4407.456543,0.586279999999988
"856.64636 Da 604.07 s",857.65363,10.07,0,0,0,0,0,0,0,0,6729.585938,18043.54883,0,0,0,0,0,6327.375,0,2738.948242,0,7957.159668,0,0,0,0,0,0,0,9375.740234,6289.233398,6236.033203,4761.187012,6916.044434,0,0,9934.714844,0,5682.248047,0,0,9236.896484,3021.830322,0,0,4640.634277,2881.137695,0.653630000000021
"559.37264 Da 448.87 s",560.37992,7.48,6239.33252,0,4236.297852,0,0,0,0,5900.95752,0,0,3375.436523,0,0,0,0,3367.066895,0,0,7789.826172,11973.83691,8747.266602,6287.475586,0,0,8347.12793,0,0,0,0,0,7025.176758,10583.71484,0,0,10056.74902,0,0,0,0,6238.191895,5810.513672,6167.103516,4529.352539,0,0,0.37991999999997
"953.79663 Da 517.04 s",954.80391,8.62,0,0,0,3735.72876,4287.01123,0,0,3535.114014,3476.609863,3213.154785,4174.541992,3481.365479,0,3610.911621,0,3130.296875,0,659.9448242,537.2606201,0,0,0,665.0944824,1703.57605,0,0,0,0,0,0,0,0,0,0,0,593.8610229,594.7626953,587.0571289,696.425293,0,0,759.883728,0,0,0,0.803909999999973
"337.33972 Da 473.48 s",338.34699,7.89,0,50096.71875,0,32542.02148,42637.82422,45373.3125,45812.42188,22912.38477,30033.28711,32656.69531,46754.44922,49515.65234,27920.64844,39948.20703,0,0,0,18619.21875,16239.37305,12874.23828,0,20177.55273,10765.61523,55720.46875,31154.08203,0,22938.0957,34970.72656,0,0,17148.44141,20138.31445,12281.46777,10540.62402,52720.98438,0,34036.59766,0,0,42216.71484,39410.57031,20878.19922,30361.48242,0,27306.21289,0.346990000000005
"1069.61458 Da 288.31 s",535.81457,4.81,0,0,0,2404.787842,3179.012451,0,2629.601563,2534.003174,3088.582275,1688.108765,1928.115234,2263.03418,0,0,0,1464.648438,2043.005005,2338.532227,9628.707031,10694.16113,11420.85645,4330.141113,3722.804199,4505.641113,9595.793945,10626.70215,10076.52441,0,0,0,8851.570313,9047.107422,9314.354492,32919.07422,30476.09375,31376.47852,0,14497.10352,0,6055.595703,5534.137207,7034.987305,0,0,0,0.814570000000003
"901.71481 Da 514.26 s",902.72208,8.57,13801.70801,0,9609.363281,0,11795.45996,0,9802.52832,8789.345703,8579.099609,8203.676758,4284.333008,7728.262695,5777.219727,6690.333008,7104.358887,4072.955811,3367.581543,0,451.3594971,0,686.5487671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840.5043945,0,0,737.8916626,0,1059.890747,1377.910645,0,0,0,0.722080000000005
"726.41065 Da 333.26 s",749.39911,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155985.1563,140780.3594,161887.5,346569.5,326455.5313,362171.3125,151297.2031,136383.75,153320.4219,0,0,0,0.399109999999951
"882.45822 Da 458.82 s",883.4655,7.65,4830.28418,3812.992432,0,5441.170898,6311.914063,6558.181641,7873.720215,7027.345703,5407.112305,6219.490723,6764.714355,7108.95166,0,3706.355713,3650.08667,4208.804688,5219.768555,6314.811523,14851.51758,12988.70117,13825.44141,6823.002441,7347.688965,5620.014648,0,6178.824707,0,3846.919922,5293.133301,3730.187988,7556.34375,8275.555664,8318.957031,147978.5156,134342.5469,158392.7813,46829.26563,49818.80078,45300.61719,22511.28125,22799.21289,22796.38477,3052.841309,3516.994385,4218.276367,0.46550000000002
"984.23693 Da 604.23 s",985.2442,10.07,36944.75781,8857.5,8136.586426,16079.11523,46295.09375,14212.22266,12209.53125,13376.93359,8386.223633,17435.52344,17933.67578,18599.82813,25695.33984,22054.27148,11781.47363,30418.02344,19684.6875,6242.891113,2543.14624,2933.976563,4576.813965,6044.870605,12962.69141,5685.147949,4014.026611,8609.833008,15467.47656,13093.35547,17296.68555,6762.21875,3823.091797,6482.14209,3309.726318,2041.881836,5397.692383,2014.148193,7773.211914,10006.00879,2229.122559,2027.260132,3738.916504,8440.101563,7646.274414,11040.36426,3959.004395,0.244199999999978
"782.56450 Da 436.43 s",783.57178,7.27,0,0,0,0,0,0,0,14641.89648,0,0,0,0,0,0,0,0,39979.55469,25049.81055,0,0,0,0,0,20494.56641,17890.95508,0,18541.36914,0,14998.24609,0,0,0,0,25869.93164,28335.27539,20153.58008,31735.4375,28345.10547,30422.23047,16890.89844,15110.5957,0,0,0,17609.40039,0.57177999999999
"504.09365 Da 604.85 s",505.10093,10.08,9519.438477,14020.5,3497,763.5643311,3203.625244,0,1948.903564,2215.856934,6254.382813,5038.391602,2877.331299,4040.904785,1875.837402,1824.684082,2063.731445,1448.273071,1826.918213,2868.260498,1679.17395,1799.053223,3143.266113,2048.526367,1038.129517,1281.216309,1939.863281,1584,2878.77832,2644.047852,3425.93335,2972.512939,1074.654663,1834.509277,2413.94873,1316.759888,4059.593018,3261.835205,0,2786.309082,0,2533.6521,4314.94043,7870.901367,2670.181152,3609.945313,1051.661377,0.100930000000005
"734.48416 Da 408.17 s",735.49144,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17211.89453,12512.31738,12748.48535,12325.2959,9416.602539,12575.33887,0,0,0,0.491440000000011
"389.11031 Da 391.42 s",372.10587,6.52,99686.25781,74780.53125,48592.47656,54260.33203,68545.74219,0,65873.17188,55252.75781,81904.92969,50618.33594,67355.94531,72479.50781,76913.54688,82496.28125,96983.96094,47393.19141,52509.22656,65100.46484,0,0,0,58506.78906,79728.95313,91604.04688,26027.03125,63687.27344,91059.01563,53918.48438,0,67742,59481.87891,47563.54297,41667.89063,39507.20313,40958.58594,49909.27734,52643.75781,0,0,47495.73828,45330.80859,44732.375,54148.25,0,86325.47656,0.105869999999982
"1276.34592 Da 509.34 s",1277.3532,8.49,0,5846.543945,0,4593.667969,4325.782715,0,3320.710693,3037.313232,3983.817627,0,5136.886719,5642.552734,4432.687012,0,2984.99292,0,0,0,0,0,0,0,935.4624023,1689.708374,0,0,0,0,0,0,0,0,0,0,0,0,336.9873047,0,0,0,0,0,0,0,0,0.353200000000015
"491.73765 Da 609.28 s",492.74493,10.15,3561.703125,0,2567.611816,3219.455078,0,0,796.8432007,2182.597168,2082.054932,0,2526.56665,2154.684326,1743.679199,2097.050781,2224.62915,0,998.9008789,1977.305054,2169,1892.557617,0,1842.2229,2410.737793,3815.87793,1821.270996,1770.779297,2299.793701,2475.273926,2997.196045,2463.585205,0,1504.902954,2130.954346,1682.508057,2733.855225,2489.883301,0,0,0,1819.314087,1823.422852,1759.917847,1922.105713,3562.617432,1288.275757,0.744930000000011
"518.28661 Da 334.79 s",519.29388,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6211.034668,5025.436035,7373.09375,5326.5,11481.53613,0,4283.616699,2511,0,0,0,0,0.293879999999945
"398.22571 Da 482.96 s",399.23299,8.05,0,0,0,0,0,0,0,0,0,0,0,2005.546509,0,0,0,0,0,0,3711.845459,0,3325.072998,0,0,2360.276367,3814.526367,2561.074951,1620.839355,0,0,0,1833.419556,1810.532349,1598.799316,2049.174316,5725.142578,2794.323242,0,5300.224121,0,2147.250244,0,3781.769287,0,0,0,0.232989999999972
"227.23013 Da 432.54 s",228.23741,7.21,0,0,0,6455.366699,3883.54248,0,8522.639648,8233.117188,10155.11816,0,0,0,0,0,0,0,7508.996094,0,10024.35449,19888.92188,7435.470215,0,0,0,11628.80078,15227.15332,14452.18164,0,0,0,7330.922852,11912.90527,8971.621094,0,0,0,9498.099609,0,0,0,0,0,2588.75415,0,2518.86499,0.237410000000011
"380.26442 Da 404.65 s",381.2717,6.74,11007.57129,0,6849.38623,0,8221.612305,0,0,7397.810059,0,10855.34375,0,9432.486328,8662.797852,8659.012695,8979.046875,6605.76416,10968.35059,6701.124023,0,6567.771973,0,8048.348633,0,0,0,6792.946289,0,6421.283203,7123.720215,7087.982422,7158.378418,0,0,0,0,0,3285.176514,4356.6875,0,5025.026855,3702.045654,4237.05957,5555.027832,8724.766602,0,0.27170000000001
"688.55494 Da 384.85 s",689.56222,6.41,0,33603.23047,0,0,0,0,0,0,5225.037109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48701.82813,0,24228.44922,0,0,0,0,0,0,0,17836.91992,4977.141113,3231.766113,0.562220000000025
"814.57134 Da 516.62 s",815.57862,8.61,0,0,0,0,0,9151.803711,9385.069336,10617.0166,10537.92773,16684.14844,7250.351074,0,13959.69043,13078.07324,14005.21777,12612.32324,16164.9502,0,0,0,0,0,6048.747559,8461.386719,3267.63501,0,2098.431152,0,0,0,0,0,0,0,0,0,0,2687.2771,0,0,0,0,0,0,0,0.578620000000001
"669.49201 Da 604.01 s",670.49928,10.07,0,0,0,0,0,0,0,3327.779297,3884.671143,0,0,4194.604004,0,0,0,0,0,0,3211.886719,1503.724243,0,0,5126.611816,0,0,0,3851.5896,0,0,2653.542725,2200.113281,4634.649414,2810.74292,0,0,4360.183594,0,0,0,3461.699707,2417.413574,3376.58252,0,0,0,0.499279999999999
"956.43829 Da 352.51 s",479.22642,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59635.81641,63917.85547,79257.20313,0,135142.125,0,74990.28906,0,73747.46875,0,0,0,0.226420000000019
"338.12668 Da 334.85 s",339.13395,5.58,1421.937988,1476.534302,1463.87915,2658.897705,0,1627.092407,3056.652588,3087.840088,3390.521484,0,2579.186768,1883.805908,0,2136.896973,0,2016.507935,2029.39624,2097.515137,4030.273438,3832.308105,4825.032227,2602.23877,2519.799316,1957.498291,2469.186523,2602.046387,2639.178467,1491.580688,2072.945313,2054.38208,0,2396.713867,2991.758057,0,3384.760254,3420.568604,3619.798828,1974.5,0,1683.299927,0,2208.594971,1112.833984,0,2303.931152,0.133950000000027
"926.73198 Da 549.98 s",927.73926,9.17,0,0,11756.53516,0,0,6573.299805,0,4541.063965,4909.614746,4310.499512,3986.512207,5165.183105,6298.615234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739259999999945
"498.25136 Da 606.37 s",499.25863,10.11,0,3580.194824,3070.48999,0,0,0,3051.523926,0,0,0,0,2726,0,0,0,0,1888.276367,1083.042847,0,1175.107422,0,0,0,0,0,0,1275.88269,0,0,0,0,1248.685669,1689.148315,6068.041992,6372.687012,2213.514404,0,0,0,1617,0,0,0,0,0,0.258629999999982
"551.34744 Da 474.56 s",552.35472,7.91,0,0,0,7169.328125,0,0,0,0,0,7601.711426,0,0,0,0,0,6804.436035,0,8088.394043,6362.404785,0,8082.034668,0,6112.876465,0,0,0,0,8442.982422,0,8159.158691,8753.390625,9478.289063,7634.20166,7899.835938,11958.80176,7747.571289,0,0,0,0,0,0,0,8049.300293,0,0.354720000000043
"652.52769 Da 524.55 s",653.53496,8.74,25200.77539,7108.668457,0,20802.1875,20434.74219,0,5705.106445,4218.796387,0,5959.5,3622.753906,2649.235596,0,4612.380371,2699.967041,2856.558594,2099.307617,767.9244385,0,207.9224854,3082.897949,4502.529785,5826.023438,3140.54541,1976.339233,1742.974243,1120.893677,826.9627075,0,0,0,0,0,0,647.7324219,1108.700684,1283.244751,1658.533325,2740.936768,3455.368652,5499.254883,2316.710205,1599.066284,1497.014526,539.682312,0.534959999999955
"886.70429 Da 603.99 s",887.71157,10.07,0,0,12282.28906,0,0,7310.149902,8234.178711,5043.646973,5170.620605,0,6633.393555,0,4472.833984,0,0,0,4230.904785,3833.661377,1996.486694,2949.802979,1760.550049,0,3512.339844,0,0,4836.745605,2336.953369,5122.82666,0,3927.457764,0,5124.150879,6107.273438,3592.787354,3911.874023,0,0,0,5834.669434,0,0,0,4556.617188,4142.678223,0,0.711570000000052
"1091.66088 Da 288.84 s",546.83772,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371.120728,0,0,4123.839844,5324.400391,4704.537109,2069.981445,1750.829712,1618.334106,4771.945313,4666.421875,4369.254883,0,0,0,3256.476318,4180.682617,3848.814453,12813.55762,11808.70996,12077.37305,0,6050.269043,0,2851.701904,3169.301758,2414.888428,0,0,0,0.83771999999999
"1082.63337 Da 361.25 s",1083.64065,6.02,0,0,0,0,7252.419922,9407.198242,0,4770.75,5049.076172,0,0,0,0,0,0,0,0,0,23406.83398,17652.55078,24527.39063,0,0,0,0,0,0,0,0,0,5683.199707,8329.693359,7924.614258,0,0,0,0,0,0,0,0,0,0,0,0,0.640650000000051
"696.35772 Da 476.31 s",697.365,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4758.765137,4959.495605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11428.65332,7135.058594,0,6196.402344,4822.418457,4807.617188,2687.164795,2710.084961,0,0.365000000000009
"725.21342 Da 474.31 s",726.2207,7.91,17750.41602,14532.0498,21414.8418,23442.35742,25974.38086,0,4954.454102,5978.681641,4402.945801,10654.26465,15457.87402,5988.016602,8199.143555,7372.33252,18310.02734,4800.062988,11886.35156,6347.263672,2873.955811,9203.545898,1892.743408,4828.313477,3781.931885,4459.469727,8546.296875,12072.73926,5097.96582,6788.27832,9155.996094,17908.36133,10236.11719,12985.59473,4502.435547,4452.757324,6421.379883,3821.604736,14715.25195,11128.45605,5339.508789,2599.336426,8310.366211,6200.072266,12952.90332,16851.27734,23154.7168,0.220699999999965
"882.63590 Da 516.48 s",883.64317,8.61,0,0,10103.83594,0,0,6897.261719,10025.66504,12857.71582,12464.75684,13230.8457,0,11999.94043,5421.881836,8879.529297,5863.037109,0,5134.222656,0,843.4447021,0,0,0,0,8034.212891,0,0,0,0,0,0,626.3164063,0,0,0,1666.352783,1801.252197,0,1368.075928,1428.558594,0,2162.362305,1667.627197,0,0,596.5707397,0.643170000000055
"1027.62761 Da 398.49 s",1028.63488,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16541.19531,14378.0752,15014.75,2389.840576,0,2347.589355,0,3893.807617,0,0,0,0,0,0,3173.134521,0,0,0,5940.026367,5602.94873,4350.363281,0,0,0,0,0,0,0.634880000000067
"501.36335 Da 410.48 s",502.37062,6.84,82638,87882.9375,84690.375,190898.9063,185041.8438,18714.42578,306986.0625,308204.4063,297002.9063,0,231001.8906,246531.5625,0,87520.6875,85760.125,173813.5156,214314.0938,178824.0156,198270.5469,396801.125,219110.3594,205079.9063,229083.2031,212884.8438,390877.9375,458362.375,438464.8125,83128.20313,0,80463.78125,402316.75,418076.875,430005.9063,3372162,3441288.75,3421400,0,1246120.25,0,970607,0,1011480.313,69595.33594,72344.85938,69036.84375,0.370619999999974
"519.73509 Da 609.34 s",520.74237,10.16,2303.118408,1779.584717,0,1833.5,1122,0,1340.941895,1523.402832,1621.5,1681.20752,1606.953613,0,1094.5,927.1038818,1723.957031,0,1694.113281,1500.051758,1963.713867,1584.257568,1124.087769,2063.812256,0,0,1719.535156,1762.136475,1623.300293,1879.518799,992.0768433,1223.637939,1236.14563,0,0,0,1662.877686,1058.558716,0,0,0,1730.926147,2924.716064,976.9393921,1092.640747,1136.310425,1852.52002,0.742370000000051
"1096.79953 Da 522.99 s",1097.8068,8.72,4121.466797,14830.38672,0,0,12708.29102,13693.70117,0,0,0,2534.592529,2107.228516,0,0,0,0,0,0,0,0,0,0,0,986.8110352,0,567.3008423,562.2301025,0,0,0,0,0,0,0,0,300.8105774,0,611.1069946,524.8130493,842.9764404,3194.553711,3858.277832,4573.417969,3061.650635,2524.097168,2043.107666,0.806800000000067
"764.66789 Da 455.18 s",765.67517,7.59,0,0,0,0,0,0,0,3183.978027,0,0,0,0,0,0,0,0,0,0,17716.11719,15742.66406,14931.78223,0,0,0,9005.03125,8874.30957,6928.521484,0,0,0,7308.467285,7430.479492,7974.15918,78142.22656,87872.74219,94037.66406,12633.81543,16481.5918,15476.07813,6780.584961,8318.99707,9000.676758,0,0,0,0.67516999999998
"877.50322 Da 457.59 s",878.5105,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17039.32813,19991.75586,22233,6499.504883,8815.294922,0,2984.973633,4190.467285,3769.921631,0,0,0,0.510499999999979
"617.36750 Da 440.42 s",618.37478,7.34,0,3926.583252,0,0,0,0,6650.929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12177.22852,10953.59277,21320.62109,19334.86914,22773.82422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374779999999987
"1206.30386 Da 492.99 s",1207.31114,8.22,3377.18457,0,2209.028076,2853.034424,3557.413574,5244.587402,6067.081055,9271.072266,5522.737793,8000.622559,8778.054688,0,0,0,3583.286377,0,4246.308105,2681.805908,0,0,0,0,0,3018.820557,2124.012207,2958.220459,0,0,0,0,0,0,0,0,0,0,1182.544434,0,0,0,2833.135742,0,0,0,0,0.311140000000023
"581.45357 Da 480.82 s",582.46084,8.01,8023.404297,6048.134277,8856.951172,0,8669.866211,11255.08789,11802.2959,10340.60156,8140.534668,9596.039063,14123.61523,19981.69336,5541.884766,5934.513672,3700.078857,5324.685059,3765.96582,2502.397461,4596.839844,3283.514404,6764.421387,0,0,4305.097168,4615.902344,5563.087402,3965.924072,0,0,2916.818848,4294.5,0,0,4076.016113,6902.192871,5353.740723,0,0,0,4718.364746,6725.038086,10012.62207,5372.435059,4942.51123,2889.187012,0.460839999999962
"364.28785 Da 376.90 s",365.29512,6.28,0,0,0,51842.72656,0,0,0,0,47459.75781,60825.48438,0,84180.26563,0,0,0,78287.14844,84603.41406,79900.00781,726994.8125,0,469747.375,121246.6328,115934.5859,0,115448.2656,146566.5156,143091.125,0,0,0,142264.4844,124715.3125,143164.9375,40281.74609,0,0,197796.375,0,0,91376.64844,93081.89063,96756.38281,0,0,0,0.295119999999997
"1024.73018 Da 603.89 s",1025.73745,10.06,4474.916992,0,0,0,4415.103027,0,0,3576.609619,0,0,2239.768555,0,0,2144.048828,0,0,0,0,0,2890.125,0,0,0,0,3101.609863,0,0,2469.931885,0,0,1565.691406,2209.946045,0,3580.203613,6437.244141,6771.817383,0,2387.530518,2309.882813,0,0,2771.192871,1826.189941,3372.502197,2075.70874,0.737450000000081
"741.55072 Da 605.09 s",742.558,10.08,0,0,0,0,0,11066.88672,0,0,0,0,0,0,8101.919922,0,0,0,0,4608.270996,5400.293945,0,0,4107.158203,0,5218.794922,0,6679.516602,7874.246582,10242.36914,0,5825.419922,6690.529297,6201.705078,9412.135742,0,0,5986.762695,0,5646.458984,0,0,5908.827148,0,5592.974609,0,3396.793457,0.557999999999993
"1055.28996 Da 495.98 s",1056.29724,8.27,72336.41406,89119.6875,40799.62891,26768.71289,32603.54883,48825.09375,35591.51172,45799.47656,0,20225.23047,26084.90039,14860.11133,22867.69336,44696.5,32691.67188,66094.45313,62513.28125,2664.08667,0,0,0,0,9234.273438,0,18352.7207,24411.92188,0,0,0,0,0,0,0,0,0,0,2017.320313,0,0,4138.312988,9733.134766,0,0,0,0,0.297240000000102
"518.72126 Da 608.36 s",519.72854,10.14,1609,2572.5,2733.679443,1136.198975,1762.556519,1560.837646,2207.649658,1702.279175,1825.890869,1984.419189,1806.460083,0,0,1855.71582,1821.064941,1764.150635,1018.131226,1249.867676,0,950.1890259,1446.662476,1433.200195,0,2276.550293,1226.807007,1244.882446,916.7373047,699.5,560.3271484,1803.960571,1549.953613,1441.436646,618.8044434,950.2783813,1786.949219,0,0,673.4119873,418,725.4874268,0,1112.014648,1473.605713,1188.774536,1284.434937,0.728539999999953
"711.48775 Da 426.33 s",712.49503,7.11,12886.75391,15426.81445,0,0,0,0,0,0,0,0,13974.08887,0,0,0,0,0,0,0,0,0,0,0,15347.67285,0,0,0,0,0,12819.77344,0,0,0,9919.267578,8995.051758,9901.173828,0,0,0,0,0,0,11535.11133,12576.03027,11564.09668,10319.20801,0.495030000000042
"743.21212 Da 534.91 s",744.21939,8.92,24520.13086,20680.75391,15053.16504,5892.689453,7230.603516,9061.102539,6102.450195,7620.658691,9215.136719,1678.633911,0,2815.715576,11168.73438,7981.08252,5733.598145,1531.71814,2379.395996,0,336.4891052,555.7896729,849.3418579,909.258667,1665.234497,3646.115479,478.5280762,998.7459106,1108.689575,636.4614258,548.5379639,462.5114136,0,0,0,0,0,400.1768494,0,0,429.204895,627.9274902,698.9104004,1677.590942,1423.817017,897.6028442,783.9233398,0.219389999999976
"337.34245 Da 579.21 s",338.34973,9.65,0,66939.5,0,56134.19141,68105.89063,65968.00781,62863.33984,21220.02734,21375.04102,0,0,0,15292.97656,0,0,0,2550.947754,0,0,0,3714.751953,1243.525757,2975.623047,0,0,1110.443726,0,0,0,0,0,1239.536377,0,0,0,0,3701.79834,0,0,0,2643.88501,0,0,0,4462.625977,0.349730000000022
"983.27087 Da 575.08 s",984.27815,9.58,12947.87305,7417.813965,7609.813965,44076.26172,23304.1582,19255.67773,10170.07715,0,6133.913574,0,6947.344238,0,0,0,0,6109.099121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.4880066,0,0.278149999999982
"436.35014 Da 410.29 s",437.35741,6.84,0,0,0,0,0,0,0,25990.82227,0,42085.66016,35715.25781,39048.72266,0,9001.802734,0,0,0,0,0,0,0,0,0,5474.609375,0,0,0,0,0,4483,0,0,0,0,0,0,0,0,0,0,56547.76563,0,0,0,3968.303955,0.357410000000016
